index,timing
0,0
5,0
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,1
50,1
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
100,0
105,0
110,0
115,0
120,0
125,0
130,0
135,1
140,0
145,0
150,7
155,1
160,3
165,5
170,2
175,4
180,222
185,8420
190,15692
195,11805
200,60043
205,9452
210,3229
215,4023
220,53646
225,61713
230,944605
235,562248
240,27878
245,143726
250,5481
255,1781
260,1353
265,761
270,681
275,912
280,532
285,700
290,880
295,556
300,639
305,747
310,400
315,902
320,922
325,497
330,914
335,779
340,242
345,534
350,474
355,425
360,599
365,450
370,439
375,640
380,468
385,442
390,623
395,439
400,524
405,754
410,316
415,520
420,540
425,349
430,641
435,727
440,336
445,713
450,572
455,224
460,422
465,552
470,421
475,632
480,587
485,431
490,772
495,58028
